z:\RAPID CAM 2\, 2024-04-16 17-13-11.mkv,In,11
z:\RAPID CAM 2\, 2024-04-16 17-13-11.mkv,Out,896
z:\RAPID CAM 2\, 2024-04-16 17-28-22.mkv,In,3
z:\RAPID CAM 2\, 2024-04-16 17-28-22.mkv,Out,704
z:\RAPID CAM 2\, 2024-04-16 17-43-32.mkv,In,7
z:\RAPID CAM 2\, 2024-04-16 17-43-32.mkv,Out,817
z:\RAPID CAM 2\, 2024-04-16 17-58-46.mkv,In,33
z:\RAPID CAM 2\, 2024-04-16 17-58-46.mkv,Out,1085
z:\RAPID CAM 2\, 2024-04-16 18-13-50.mkv,In,10
z:\RAPID CAM 2\, 2024-04-16 18-13-50.mkv,Out,1048
z:\RAPID CAM 2\, 2024-04-16 18-29-04.mkv,In,10
z:\RAPID CAM 2\, 2024-04-16 18-29-04.mkv,Out,1061
z:\RAPID CAM 2\, 2024-04-16 18-44-24.mkv,In,12
z:\RAPID CAM 2\, 2024-04-16 18-44-24.mkv,Out,920
z:\RAPID CAM 2\, 2024-04-16 18-59-25.mkv,In,10
z:\RAPID CAM 2\, 2024-04-16 18-59-25.mkv,Out,812
z:\RAPID CAM 2\, 2024-04-16 19-14-42.mkv,In,3
z:\RAPID CAM 2\, 2024-04-16 19-14-42.mkv,Out,580
z:\RAPID CAM 2\, 2024-04-16 19-29-57.mkv,In,4
z:\RAPID CAM 2\, 2024-04-16 19-29-57.mkv,Out,566
z:\RAPID CAM 2\, 2024-04-16 19-45-04.mkv,In,6
z:\RAPID CAM 2\, 2024-04-16 19-45-04.mkv,Out,524
z:\RAPID CAM 2\, 2024-04-16 20-00-10.mkv,In,9
z:\RAPID CAM 2\, 2024-04-16 20-00-10.mkv,Out,396
z:\RAPID CAM 2\, 2024-04-16 20-15-29.mkv,In,8
z:\RAPID CAM 2\, 2024-04-16 20-15-29.mkv,Out,200
z:\RAPID CAM 2\, 2024-04-16 20-30-35.mkv,In,15
z:\RAPID CAM 2\, 2024-04-16 20-30-35.mkv,Out,178
z:\RAPID CAM 2\, 2024-04-16 20-45-35.mkv,In,9
z:\RAPID CAM 2\, 2024-04-16 20-45-35.mkv,Out,189
z:\RAPID CAM 2\, 2024-04-16 21-00-59.mkv,In,10
z:\RAPID CAM 2\, 2024-04-16 21-00-59.mkv,Out,99
z:\RAPID CAM 2\, 2024-04-16 21-16-20.mkv,In,9
z:\RAPID CAM 2\, 2024-04-16 21-16-20.mkv,Out,115
z:\RAPID CAM 2\, 2024-04-16 21-31-44.mkv,In,6
z:\RAPID CAM 2\, 2024-04-16 21-31-44.mkv,Out,133
z:\RAPID CAM 2\, 2024-04-16 21-46-44.mkv,In,6
z:\RAPID CAM 2\, 2024-04-16 21-46-44.mkv,Out,126
z:\RAPID CAM 2\, 2024-04-16 22-01-44.mkv,In,6
z:\RAPID CAM 2\, 2024-04-16 22-01-44.mkv,Out,114
z:\RAPID CAM 2\, 2024-04-16 22-17-05.mkv,In,8
z:\RAPID CAM 2\, 2024-04-16 22-17-05.mkv,Out,125
